Sector,Stock P/E,Price to book value,Debt to equity,Return on equity,Return on assets,Buy
Chemicals,35.2,6.5,0.23,30.5,8.2,1
Telecommunications,5.1,9.1,0.04,34.2,25.2,1
Automobiles,83.9,9.4,2.87,38.3,-0.3,0
Consumer Goods,31,1.1,0.66,43.5,5,1
Information Technology,56.9,5,1.36,-5.9,16.7,0
Automobiles,80.4,0.3,0.56,-3,21,1
Metals and Mining,64.9,4.9,2.07,38.8,20.3,0
Information Technology,6.6,11.8,0.6,24.5,22.2,1
Energy,6.1,11,4.34,1.1,-0.4,0
Financial Services,32.2,10.2,1.28,13.1,22.5,0
Pharmaceuticals,20.1,12,4.06,3.1,3.1,0
Chemicals,33.3,5.5,3.3,-4.3,-4.9,0
Consumer Services,42.7,1.7,1.17,20.4,27.3,1
Consumer Goods,2.4,13.5,2.5,-6.5,3.9,0
Banking,16.6,13.2,1.08,17.4,7,1
Energy,27.1,0,1.85,-4.9,17.8,1
Banking,62.6,0.1,0.5,-7.4,-0.4,0
Chemicals,59.1,14,0.02,-3.5,-1.6,0
Chemicals,99.7,10.4,2.86,25.7,13.3,0
Automobiles,79.3,7.7,3.59,-4.7,25.2,0
Chemicals,93.5,0,1.63,16.1,27.7,0
Telecommunications,30.4,14.8,0.87,30.1,-2.6,1
Chemicals,41.3,3.5,0.6,34,5.2,1
Metals and Mining,62,12.9,3.7,29.3,-2.1,0
Financial Services,59.2,1.9,0.01,38.5,23.6,1
Pharmaceuticals,46.5,9.1,1.56,33,15.6,0
Textiles,67.9,7.1,4.87,17.9,3,0
Textiles,52.5,0.1,2.31,-3,23.7,0
Consumer Services,1.2,11.7,4.72,19.2,29.7,1
Telecommunications,28.4,4.5,3.26,23.5,14.3,1
Energy,10.8,4.3,2.19,13.8,27.3,0
Metals and Mining,60.3,8.9,3.06,-5.2,20.5,0
Textiles,25.5,3.9,2.35,37.5,26.7,0
Chemicals,69.6,12.3,2.27,23.5,11.5,0
Automobiles,46.7,14.6,3.82,-8.8,7.3,0
Infrastructure,35.6,1.5,2.67,27.2,5.5,0
Pharmaceuticals,64.4,1.4,4.37,18.3,22.3,1
Chemicals,53.3,12.3,1.23,18.2,26,0
Automobiles,9,4,3.64,36,15,1
Energy,22.5,3.6,5.1,11.8,4.6,0
Automobiles,63.4,6.6,0.88,15.6,21.2,1
Banking,7.8,1.7,2.62,24.1,-2.2,1
Automobiles,39.9,6.5,4.57,9.4,28.6,0
Consumer Goods,60,12.4,1.53,49.9,34.9,0
Metals and Mining,8.3,7.5,4.57,35.6,19.8,1
Information Technology,14.9,11.9,0.12,7.7,1.7,0
Information Technology,16.5,3.3,4.06,31,6.3,1
Banking,10.2,2.7,2.3,-7.1,7.9,1
Chemicals,27.7,6.9,3.79,22,14,1
Information Technology,57.3,9.7,3.03,10.7,25.7,0
Banking,88.4,0.5,0.6,36.3,-2,1
Consumer Goods,49.8,4.9,2.23,40.6,29.4,1
Financial Services,13,9,1.48,25.7,25.2,1
Pharmaceuticals,7.5,15,3.11,27.2,-4.9,0
Textiles,39.3,5,0.04,0.8,17,0
Financial Services,2.4,0.4,1.84,33.7,5.5,1
Automobiles,36.8,13,1.33,18.1,11.4,1
Metals and Mining,6.2,13.7,3.97,20.7,1.5,0
Infrastructure,25.6,13.7,4.3,14.8,0.1,0
Textiles,88.4,3.3,0.48,30.7,21.5,1
Energy,67.7,0.9,1.13,28.5,18.6,1
Metals and Mining,3.3,0.2,4.3,27.2,25.7,1
Metals and Mining,42.1,1.8,1.82,32.7,20.4,0
Banking,82.5,4.8,5.38,18.4,0.7,0
Financial Services,27.1,12.4,3.4,18.9,-4.6,0
Information Technology,34.9,5.4,0.98,23.9,36.9,1
Automobiles,51.1,1.1,4,-2.2,2.1,0
Information Technology,8.3,11.8,4.3,13.1,22.3,0
Banking,65.9,5.4,0.46,11.3,29.1,0
Real Estate,46.5,4.8,0.6,20.3,2.1,0
Information Technology,1,3.3,1.2,22.9,15.7,1
Infrastructure,19.5,7.3,1.42,4.5,25.8,1
Information Technology,35.3,12.2,4.09,19.6,-3,0
Banking,42.6,2.9,1.83,11.3,23.5,1
Real Estate,39.1,8.4,0.75,25.8,15.6,1
Consumer Services,4.2,2.7,4.9,3.3,-1.8,0
Consumer Goods,12.9,10,3.7,48.4,28.7,1
Pharmaceuticals,82,6.6,2.71,33.4,6.1,0
Consumer Services,79.5,3.8,3.32,0.7,5.1,0
Consumer Goods,9.1,0.8,4.62,40.4,10.8,1
Energy,36.6,3.5,3.2,19,27.3,0
Textiles,47.8,3.1,1.56,-5.3,20.7,0
Banking,82.7,1.2,2.64,17.2,21,1
Financial Services,48,13.7,2.69,39.9,0.2,0
Information Technology,66.4,9.3,3.28,37.6,17.1,0
Pharmaceuticals,0.3,7.2,3.27,-2.7,17.8,0
Telecommunications,37.7,2.9,0.45,2.8,10.5,1
Pharmaceuticals,81.1,13.9,3.53,5.6,12.8,0
Pharmaceuticals,88.2,0.4,0.52,8.9,18.5,1
Real Estate,27.9,3.7,3.9,12,4.2,0
Infrastructure,41,7.4,2.56,16.9,-0.1,0
Consumer Goods,105.7,14.5,3.06,3.5,35.4,0
Pharmaceuticals,85.9,3.7,3.42,11.8,24.6,0
Infrastructure,21.9,0.8,0.65,12.1,14.8,1
Banking,42,4.6,5.61,36,24.9,0
Consumer Goods,67.8,20.8,2.32,51.4,30.6,0
Real Estate,69.3,8.1,2.62,2.9,13.5,0
Energy,86.1,10.6,0.61,35.7,14.6,1
Infrastructure,70.7,11.7,3.86,7.6,26.6,0
Information Technology,15.2,4.6,2.34,6.5,-2,0
Consumer Goods,99.6,1,0.11,52.5,6.5,1
Information Technology,87.1,1.1,3.58,6.7,15.1,0
Real Estate,1.2,4.7,3.76,14.4,17.6,1
Automobiles,32.3,11.8,1.93,19.2,3.5,0
Real Estate,78.4,11.4,3.47,34.5,6.4,0
Pharmaceuticals,69.4,14.1,0.75,12.4,24.4,0
Information Technology,22.3,0.8,1.05,37,3.9,1
Consumer Services,73.2,14.9,4.9,3.6,25.7,0
Textiles,21.3,9.6,1.6,-0.9,24.4,0
Infrastructure,30.4,1,2.48,38,19.1,1
Energy,54.3,3.7,5.89,20.8,28.2,1
Financial Services,4.6,8.6,4.53,25.5,27.4,1
Real Estate,52.4,2.4,5.45,32.7,18.5,0
Metals and Mining,85.4,11.3,1.24,-5.9,6.8,0
Information Technology,11.9,2.9,0.36,7.6,35.5,1
Infrastructure,54,12.7,1.85,3.6,19.2,0
Chemicals,30.6,8.3,4.39,1.3,0.7,0
Telecommunications,69.5,14.7,4.62,1.1,18.1,0
Financial Services,50.9,8.2,4.96,-4.9,17.4,0
Chemicals,45.8,2.9,3.38,7.1,11.9,0
Banking,78.2,1.1,0.18,25.3,-0.1,1
Financial Services,21.2,7.5,4.91,14.5,16.2,0
Infrastructure,5.3,4,1.51,-2,26.2,0
Financial Services,35.3,12.5,3.79,34.6,21.4,0
Telecommunications,46.1,3.1,4.15,15.5,-0.5,0
Telecommunications,56,4.7,4.94,-0.6,23.5,0
Information Technology,74.9,6.5,4.1,20.3,8.8,0
Telecommunications,38.7,1.3,4.05,29.5,29.1,1
Infrastructure,55.7,0.9,0.14,0.9,19.6,1
Consumer Goods,45.1,3.4,0.39,47.9,11.7,1
Infrastructure,44.9,7.8,0.21,35.1,-0.8,0
Pharmaceuticals,12.1,4.1,4.99,29.8,15.6,1
Banking,30,12.1,0.4,15.4,14.7,1
Energy,22.8,8.4,2.8,-3,6,0
Pharmaceuticals,26.6,11.4,0.99,-3.9,18,1
Consumer Goods,23.8,20.3,4.3,31.2,25.1,1
Consumer Services,7.1,10.6,3.48,29.3,14.4,1
Pharmaceuticals,10,6,3.48,27.6,1.7,0
Pharmaceuticals,79,1.1,3.35,39,3.1,0
Pharmaceuticals,89,2.6,0.76,32.6,11.9,1
Pharmaceuticals,53.9,2,3.76,10.5,14.4,0
Consumer Services,57.5,12.6,1.83,4.1,1.3,0
Infrastructure,14,0.3,3.56,28.3,11.8,1
Telecommunications,58.5,14.4,1.03,7.3,27.5,0
Consumer Goods,101.9,10.2,1.62,24.6,26.5,0
Infrastructure,79.2,2,4.17,37.5,-1.6,0
Information Technology,57.5,12.5,4,31.1,13.1,0
Consumer Goods,101.6,6.4,2.1,20.7,23.3,0
Real Estate,23.4,8.3,5.2,3.8,-2.8,0
Information Technology,84.6,14.5,0.87,44.8,2.7,0
Consumer Services,81.1,8.9,0.67,37.2,5.8,0
Chemicals,95.5,4.9,1.72,30.8,18.8,1
Pharmaceuticals,62.8,1.5,3.8,-7.9,-2.7,0
Automobiles,60.9,7.5,3.5,17.8,16.7,0
Automobiles,36.2,3.7,2.48,-8.7,8.1,0
Pharmaceuticals,0.2,15,0.31,16.5,5.9,0
Energy,65.7,8.7,2.27,24.5,21.6,0
Telecommunications,48.9,13.2,1.8,22.7,27,1
Telecommunications,9.8,14.2,4.17,-1.6,17.3,0
Infrastructure,69.5,11.6,0.79,21.3,8.8,1
Metals and Mining,9.8,11.1,0.16,14.7,4.8,1
Metals and Mining,59.9,2.8,3.16,0.9,22.1,0
Consumer Services,70.5,10.7,4.88,31.6,11.6,0
Pharmaceuticals,19.2,3.1,1.69,10.8,22.7,1
Infrastructure,63.7,7.5,0.74,-2.5,29.1,0
Metals and Mining,58.5,8.1,4.78,22.1,21.8,0
Pharmaceuticals,11.6,11.2,0.16,25.3,14.3,1
Energy,12.3,5.7,0.8,11.7,23.1,1
Metals and Mining,42.8,12.8,2.69,31.1,24.7,0
Information Technology,37.2,0.5,4.31,22.9,22.7,1
Infrastructure,63.1,14.3,2.52,7.1,26.2,0
Consumer Services,68.6,0.3,3.73,20.6,21.1,1
Financial Services,4.2,8.1,4.38,21.4,26.7,1
Energy,18.7,4.8,0.51,18,13.3,1
Pharmaceuticals,25.5,1.8,4.14,31.1,21.1,1
Pharmaceuticals,9.3,0.2,1.2,39.6,8.3,1
Financial Services,34.3,14.2,4.34,29.7,-2.9,0
Real Estate,78.8,0.4,0.66,-2,6.1,0
Chemicals,47.1,4.1,3.79,39.8,29.1,1
Infrastructure,35.8,3.8,0.91,30.4,20.5,1
Automobiles,30.3,13.5,2.32,-3.6,11.4,0
Consumer Goods,79.4,3.5,4.36,26.8,35.7,1
Information Technology,26.5,12.6,1.62,-4.9,15,0
Consumer Services,10.8,5.3,2.16,-5.7,21.6,0
Textiles,53.7,7.5,2.96,23.2,23.2,0
Financial Services,17.3,12.4,3.7,27.8,1.8,0
Energy,40.6,1.3,1.55,18.5,27.7,1
Pharmaceuticals,65.4,14.9,0.11,25.9,12,0
Real Estate,46.9,6.5,2.84,3.3,-0.8,0
Consumer Services,74.3,8.2,1.33,9.6,9.8,0
Infrastructure,18.1,7.7,4.19,13.2,9.3,0
Energy,38.1,4.8,3.99,31.3,28.1,0
Automobiles,36.4,6.2,3.08,0.2,22.6,0
Infrastructure,40.8,13.2,1.12,12.6,15.2,0
Information Technology,22.5,0.2,0.21,23.2,12.3,1
Banking,45.6,1.7,5.41,38.3,-3.5,0
Consumer Goods,31.1,4.2,0.44,4.5,3.8,1
Automobiles,18.3,4.7,3.69,-7.1,19.9,0
Automobiles,59,8.7,4.26,13.1,22.6,0
Banking,0.5,3.4,0.94,15.5,18.7,1
Consumer Services,12.6,7,0.58,3.8,12.9,1
Automobiles,24,8.6,2.94,34.5,14.7,0
Textiles,47.2,0.6,0.88,38.9,9,1
Financial Services,7.3,10,0.79,35.7,3.5,1
Textiles,27.7,12.5,4.92,8,21.5,0
Financial Services,40.7,3.1,4.49,1.8,27.2,0
Consumer Goods,56.1,8.1,2.15,33.9,16.7,0
Real Estate,10.7,11.8,3.62,15,-4.6,0
Metals and Mining,10.5,5.9,1.49,30.3,17.9,1
Consumer Services,86.4,9.9,0.54,-10,0.6,0
Metals and Mining,65.8,11.4,3.93,-1.9,14,0
Financial Services,51.3,0.9,0.67,7.1,25.4,1
Telecommunications,82,3.4,1.46,23.8,28.5,1
Consumer Services,19.6,10.4,1.49,-1,4,0
Metals and Mining,66.8,5.9,1.3,24.5,19.9,1
Telecommunications,23.1,1.9,5.7,36.1,10,1
Infrastructure,88.7,3.3,1.63,15.4,18.4,0
Infrastructure,74.4,11.1,2.44,23.7,23.2,0
Real Estate,67.9,11,0.82,10.1,-0.5,0
Consumer Goods,85.9,1.1,4.97,28.5,-4,0
Telecommunications,90.5,11.3,1.62,9.8,4.9,0
Consumer Services,71.1,7.1,1,21.7,17.2,1
Textiles,77.8,1.9,0.43,38.8,15,1
Infrastructure,14.8,9.2,4.65,39.7,21.8,1
Automobiles,41.3,11.5,1.52,0,-4.4,0
Automobiles,32.7,3.8,0.81,24.4,16.4,1
Metals and Mining,83.5,11.7,2.07,21.3,-2.6,0
Consumer Services,20.8,7.8,4.39,11.8,-1.2,0
Banking,32.1,2.7,1.56,-8.7,7.2,1
Energy,48.8,0.6,0.55,-4.3,26,1
Pharmaceuticals,36.2,5.2,0.67,25.8,26.3,1
Consumer Goods,22.3,15,3.47,4.2,18,0
Chemicals,55.7,14.1,1.98,21.3,19.7,0
Banking,67.9,14.3,2.83,39.6,-0.7,0
Infrastructure,59.3,9,0.16,9.6,13.6,0
Consumer Services,13.5,5.1,0.47,27.1,22.6,1
Financial Services,52.1,11.8,1.33,16.6,2.1,0
Consumer Goods,15.3,21.8,1.88,28.6,12.1,0
Information Technology,32.7,5.7,2.89,35,30.7,0
Chemicals,40.1,1.1,3.46,8.6,-4.3,0
Telecommunications,28.3,14.2,1.64,12.5,21.7,1
Automobiles,27.3,10,2.29,39.7,12.1,0
Banking,16.8,7.6,0.68,32.7,-0.5,1
Telecommunications,21.2,6.7,5.45,21.8,12.1,1
Textiles,25,12.4,3.08,-1.7,15.9,0
Infrastructure,32,3.6,2.39,11.2,10.5,0
Banking,68.6,7.8,5.62,-9.5,7.5,0
Telecommunications,67.3,2.9,0.3,12.9,16.4,1
Energy,51.3,12.3,1.74,3.5,-1.2,0
Infrastructure,55.1,5.5,1.44,-2.4,13.6,0
Financial Services,43.5,5.1,0.05,38.9,28.8,1
Telecommunications,94.3,8.1,5.89,30.2,25.2,0
Telecommunications,74.8,6.9,4.18,27.4,26.3,0
Pharmaceuticals,36.4,14.8,1.39,23,16.4,0
Real Estate,80.3,10.9,4.77,-1.7,24,0
Pharmaceuticals,42.1,0.9,1.11,36,19.6,1
Banking,60.9,7.5,1.32,-3.5,13.9,0
Information Technology,43.7,7.9,0.48,14.4,35.7,0
Financial Services,38.9,4.9,2.14,-3.1,1.9,0
Consumer Services,6.8,6.3,0.51,14.8,3.5,0
Consumer Services,19.9,10.1,0.14,18.8,24.5,1
Real Estate,17.1,13.5,4.24,7.4,20.6,0
Automobiles,17.4,9.9,0.15,-1.2,11.7,1
Telecommunications,81.7,3.6,5.44,39.5,22,0
Information Technology,42,14.1,2.97,17.5,-0.7,0
Consumer Services,5.4,6.8,0.51,2,24.5,1
Pharmaceuticals,18.9,1.5,4.48,24.6,17,1
Infrastructure,57.2,6.7,4.33,21,24.5,0
Pharmaceuticals,84.6,0.6,3.66,37.9,8.4,0
Information Technology,31.4,2.1,0.41,8.1,27.8,1
Financial Services,3.3,5.7,0.52,38.9,4.1,1
Automobiles,55,1.1,3.81,29.3,25.6,1
Information Technology,42.1,2.4,0.23,36.2,10.9,1
Real Estate,51.3,8.6,2.66,38.4,18.5,0
Real Estate,76.8,14.4,3.65,-6.8,23,0
Textiles,62.9,9.1,1.34,35.5,17.7,1
Banking,41.4,6.5,0.88,15.9,17.9,1
Metals and Mining,65.4,0.5,1.96,23.3,16.3,1
Textiles,3.1,14.7,1.03,6.3,26.1,1
Telecommunications,65,10,5.96,27.4,15,0
Banking,16.8,10.8,2.08,-1.6,-3.6,0
Metals and Mining,3.2,8.6,2.9,28.2,9.6,0
Financial Services,68.2,1,4.69,10.8,23.6,0
Banking,62,0.1,0.74,2.1,8.8,1
Energy,36.2,0.6,0.16,12.9,19.8,1
Financial Services,43,14.4,0.13,-5.9,23,0
Financial Services,29.8,0.8,4.4,0.2,12.3,1
Telecommunications,77.4,2.9,0.66,30.7,-0.9,1
Textiles,34,6.1,0.92,8.7,14.2,0
Chemicals,30.1,3,0.82,-9.1,-1.8,1
Real Estate,43.8,13.8,4.27,-2.5,2.4,0
Consumer Goods,42.2,5.5,4.82,47.9,25,1
Financial Services,11.5,6,4.48,31.7,18.1,1
Telecommunications,13.4,12.3,0.86,16.7,16,1
Infrastructure,5.7,0,3.16,33.2,22.3,1
Consumer Services,34.5,2.4,1.74,29.2,-5,0
Textiles,67,1.3,1.77,31.9,9,1
Energy,19.4,6.9,4.76,27.7,8.7,0
Automobiles,14.1,8.2,0.11,31.2,29.2,1
Pharmaceuticals,42.9,7.6,2.11,16.2,14.9,0
Banking,19.1,1.8,2.68,3.8,8.1,1
Consumer Goods,57.4,9.1,4.34,11.6,33.7,0
Real Estate,73.4,2,2.49,35,-0.9,0
Telecommunications,93.4,13.7,5.62,24.2,16.6,0
Infrastructure,50.8,3.3,0.53,24,20.7,1
Infrastructure,55.4,6.4,4.19,-0.1,4.4,0
Chemicals,18.3,9.7,1.49,2.2,-2.6,0
Energy,48.1,8.9,1.29,-1.9,27,0
Textiles,46.6,4.6,4.39,-7.3,10.8,0
Information Technology,59.8,4.5,2.68,3.2,11.9,0
Consumer Services,49.2,0.3,1.71,30.4,24.3,1
Metals and Mining,60,14,4.32,34.1,21.1,0
Metals and Mining,22.3,8.5,0.79,-7.4,28.2,0
Infrastructure,35.5,0,1.53,25,3,0
Consumer Services,16.5,9.3,0.24,11.3,1.4,0
Information Technology,71.6,4.7,4.42,2.4,28.5,0
Consumer Services,41.7,7.4,1.33,25.5,6.1,0
Consumer Services,36.4,2.4,1.61,1.7,12.3,0
Information Technology,32.2,14.5,4.99,24.1,34.5,0
Telecommunications,43.3,3.3,2.23,19.7,8.7,0
Infrastructure,16.4,6.6,2.88,23.4,26.9,1
Information Technology,6.2,1,1.16,37.9,-0.5,1
Financial Services,69.4,1.2,1.59,34.4,9.4,0
Infrastructure,16.1,4.8,2.85,18.9,5,0
Chemicals,49.6,1.3,5,23.5,11.7,0
Telecommunications,62.9,11.6,1.15,32.3,4.7,0
Real Estate,50.8,5.4,3.14,14.1,3.2,0
Consumer Services,34,8.2,3.07,33.8,3.1,0
Energy,79.8,0,1.8,25.7,9.1,1
Automobiles,77.1,13.9,2.09,-7.8,26.3,0
Information Technology,6.2,10.6,4.15,6.4,28.9,0
Pharmaceuticals,90,12.9,2.79,32.3,19.9,0
Automobiles,13.3,1.2,3.15,23.1,-1.4,1
Telecommunications,70.2,10.7,4.6,25.6,10.7,0
Metals and Mining,56.5,8.6,2.28,-4.4,-3.7,0
Financial Services,38.4,5.2,0.04,31.4,25.9,1
Real Estate,21.2,0.9,5.88,14.7,12.6,1
Chemicals,38.4,6.5,2.16,39.6,-3,0
Textiles,79,13.7,0.05,1.4,26.5,0
Chemicals,39.2,6.5,3.3,-6.7,-4.6,0
Financial Services,80.7,0.9,1.47,5,16,1
Pharmaceuticals,81.3,14.8,0.21,8.1,4.5,0
Chemicals,34.2,3.8,0.44,12.2,16,1
Metals and Mining,88.3,8.3,4.31,13,3.4,0
Pharmaceuticals,46.7,3.6,4.3,21.1,16.7,1
Consumer Goods,75.9,2.8,0.83,33.2,-0.2,1
Consumer Services,31.5,1.3,2.47,34,-1.5,0
Information Technology,4.7,8.2,4.4,20.3,35.9,1
Chemicals,0.9,12.5,1.38,16.6,16.6,0
Automobiles,24.1,13.3,2.24,31.4,4.8,0
Financial Services,2.4,4.4,2.13,-2.4,10.4,1
Pharmaceuticals,48.7,13.9,4.98,0.4,0.8,0
Automobiles,43.1,12.3,4.63,5.4,27.3,0
Real Estate,81.3,7.4,0.13,35.6,-3.6,0
Banking,38.5,14.9,5.35,10.8,22.3,0
Energy,65.4,4.7,2.22,28.4,-3.6,0
Consumer Services,17.4,2.8,0.15,25.5,2.3,1
Metals and Mining,64.3,2.4,4.76,-5.7,-4.8,0
Automobiles,45.9,12,1.63,18.4,27.2,0
Automobiles,77.2,5.3,4.38,33.6,15.4,0
Information Technology,21.1,2.1,1.4,13.3,15.3,1
Pharmaceuticals,9.2,9.2,2.75,-8.3,7.6,0
Real Estate,66.4,0.2,5.99,10.9,22.8,0
Financial Services,2.6,14.3,3.58,26.3,11.6,1
Metals and Mining,65.5,9.6,0.17,17.8,18,1
Chemicals,55.2,1.4,0.21,10.8,29,1
Real Estate,15.1,14.7,3.32,31,2,0
Pharmaceuticals,37.1,14.1,4.35,11.6,7.4,0
Consumer Goods,73.5,8.6,2.33,37.8,20.7,1
Automobiles,76.5,6.1,1.83,9.2,3.6,0
Consumer Services,25.2,0.1,0.02,9.4,14.7,1
Real Estate,8.2,14.1,5.28,-0.7,-3.5,0
Real Estate,33.7,4,4.34,-5.4,29.5,0
Energy,59,0.6,0.48,9.9,0.1,0
Chemicals,5.5,14.4,3.39,28.8,25.7,1
Real Estate,39.5,6.2,0.71,19.2,17.6,1
Consumer Goods,43.2,8.5,4.52,5.7,26.7,1
Infrastructure,39.8,5.9,0.79,37.2,20.3,1
Infrastructure,80.7,9.8,3.72,32.3,20.1,0
Automobiles,46,10.4,4.54,6.9,16.9,0
Information Technology,54.5,4.5,0.81,28.8,17.6,1
Financial Services,14.8,6.3,2.43,3.2,15.9,0
Energy,59.5,8.9,2.19,18.5,-5,0
Automobiles,31.6,0.6,4.78,28.1,17.4,1
Metals and Mining,73.7,6.7,0.19,30.8,25.4,1
Automobiles,72.9,13.3,1.64,-6.7,8.8,0
Consumer Goods,31.3,18.1,1.02,39.5,35.4,1
Real Estate,13.3,8.2,0.5,6.8,9.3,1
Consumer Services,50.8,3.7,2.07,36.9,15.2,0
Infrastructure,33.3,7.3,3.35,13,-0.9,0
Pharmaceuticals,47,9.5,2.22,23.1,2.1,0
Information Technology,61.9,13.9,0.86,17,37.4,0
Metals and Mining,54.2,4.8,1.98,25.7,7.6,0
Banking,64.6,1.8,5.58,-3.8,18.1,0
Consumer Services,16.1,8.8,4.66,13.1,17.6,0
Metals and Mining,39.4,3.8,2.27,23.2,0.3,0
Consumer Goods,42.3,16.5,0.28,41.9,11.3,1
Consumer Services,7.3,13.4,1.66,6.9,23.6,0
Consumer Services,85.8,8.3,1.07,13.1,14.7,0
Telecommunications,76.9,2.6,1.56,39.4,29.1,1
Telecommunications,53.7,5.6,4.51,36.1,13.6,0
Real Estate,14.5,4.9,2.14,21.8,0.3,0
Banking,74.9,9,5.25,4.3,23.9,0
Consumer Goods,9.2,5.6,4.53,-6.2,10.9,0
Infrastructure,8.9,12,1.9,2.2,9,0
Textiles,75.2,2.5,1.12,25.7,28.9,1
Information Technology,32.1,2.3,0.39,-2.2,12.2,0
Information Technology,11.6,0.1,2.28,26.2,31,1
Chemicals,46,10.4,1.02,-2.9,22.2,0
Textiles,61.1,2.9,4.56,31.8,2.8,0
Energy,52.4,8.9,2.78,-1.2,5.1,0
Chemicals,8.2,12.9,2.23,28.9,-2.7,0
Textiles,39,12.8,4.13,16.4,6.7,0
Financial Services,39.5,6.4,0.4,-8.6,12.5,0
Financial Services,66.1,7.5,2.21,18.4,18.5,0
Pharmaceuticals,25.9,5.9,2.56,31.5,18.8,1
Chemicals,47.9,10.4,2.06,15.2,18.4,0
Energy,7.8,5,2.34,8.1,0,0
Real Estate,21.8,6.7,1.62,31.2,20.9,1
Consumer Goods,94.7,6.2,0.89,47.8,22.2,1
Financial Services,20.6,7.7,4.75,31.7,24.6,1
Pharmaceuticals,1.1,9.9,3.75,30.7,20.1,1
Information Technology,53.6,4.5,2.37,14.2,6.1,0
Real Estate,70.8,13.3,1.8,23.5,17.5,1
Infrastructure,0.9,12.9,1.29,15.9,29.9,1
Real Estate,51.6,5.9,0.88,24.8,4.7,0
Banking,42.7,9.2,0.79,-3.7,26.9,0
Financial Services,53.2,3.1,4.17,30.2,3.8,0
Infrastructure,1,0.3,4.1,5.3,-2.8,0
Infrastructure,78.7,9.6,0.02,-6.5,3.9,0
Automobiles,7.6,9.8,0.86,31.3,24.4,1
Telecommunications,20,11.9,5.09,-0.5,18.6,0
Chemicals,36.6,10.7,2.64,35,28.5,1
Metals and Mining,72.7,4.6,0.43,-1.3,26.2,0
Real Estate,58.9,7.8,5.67,6.2,29.8,0
Chemicals,71,9,1.18,-5,17.6,0
Information Technology,77.9,3.2,2.16,3,15.9,0
Chemicals,87.3,2.5,0.81,-2.5,15.7,1
Textiles,50.7,1.6,2.95,-4.4,6.7,0
Consumer Services,31.3,9,1.28,0.5,13.7,0
Automobiles,67.2,4.8,4.6,0.5,8,0
Information Technology,65.9,5.2,0.24,10.6,-3.9,0
Automobiles,72.8,1.4,0.17,24.9,2.2,1
Information Technology,46.5,1.8,1.67,15.4,23.7,0
Chemicals,42.4,10.8,3.69,37.2,19.4,0
Metals and Mining,39.6,4.3,1.85,36,27.2,0
Infrastructure,81.2,9.9,3.78,22.1,-1.2,0
Chemicals,38.3,13.7,3.62,1,3.1,0
Telecommunications,24.4,11.6,2.33,25.1,24.7,1
Real Estate,19.5,12.5,5.13,14.3,18.4,1
Banking,62.1,15,4.3,25.3,9,0
Real Estate,3.6,7.8,1.4,-9.5,8.7,1
Telecommunications,12.6,14.1,0.9,37.3,12.8,1
Metals and Mining,15.2,7.8,1.25,21.2,28.5,1
Telecommunications,17,11.7,2.82,-2.9,27.7,0
Metals and Mining,22.5,0.2,1.1,32.1,29.4,1
Metals and Mining,1.1,14.1,1.31,28,14.3,1
Automobiles,60.4,0.3,4.09,1.6,-4.8,0
Infrastructure,65.2,4.4,3.46,35.1,14.5,0
Chemicals,9.1,1.7,1.78,-9.6,26.3,1
Financial Services,22.8,12.5,1.48,9.4,26.9,1
Automobiles,74.7,1.2,4.34,-5.4,15.7,0
Pharmaceuticals,29.1,9.6,3.72,6.6,28.9,0
Consumer Services,31.2,5.2,2.7,39.6,0.3,0
Metals and Mining,78.1,8.3,1.38,36.4,24.1,1
Consumer Services,68.7,6.4,3.13,15,21.9,0
Chemicals,1.3,6.5,0.89,-1.4,27.3,1
Banking,17.5,10.6,1.41,33.1,16.9,1
Real Estate,25.9,4.5,0.33,23.3,1.4,0
Automobiles,26.7,2.6,1.18,27.2,16.9,1
Textiles,37.1,11.5,0.77,19.6,19.9,1
Consumer Goods,63.7,1.8,1.85,47.3,32.2,1
Financial Services,56.3,13.8,3.92,16.4,1.2,0
Consumer Goods,49.4,21.9,3.51,34.7,12.7,0
Automobiles,1,10.1,2.13,11.4,-2.2,0
Pharmaceuticals,5,8.6,0.82,5.5,23.7,1
Information Technology,55,6.6,1.63,4.1,8.6,0
Banking,6.7,7.1,3.26,35.1,9.4,1
Financial Services,17.5,0.2,0.7,7.2,23.8,1
Pharmaceuticals,34.8,9.9,3.11,32.8,16.3,1
Metals and Mining,45.9,1.2,0.24,5.7,20.7,1
Consumer Services,31.1,10.3,0.56,-4.1,7.9,0
Banking,40.5,9.4,1.11,-3.7,1.1,0
Consumer Services,35.8,6.5,2.39,29.5,19.8,0
Energy,67.6,8.1,4.98,5,22.7,0
Automobiles,29,1.4,0.31,14.5,7.1,0
Consumer Services,29.9,6.2,4.82,14.9,-1.6,0
Information Technology,54.1,4.3,4.67,7.3,26.6,0
Banking,68.7,0.1,0.04,-5,27.3,1
Real Estate,30,9.8,1.22,29.6,18.4,1
Banking,7.6,14.4,1.47,23.3,25.4,1
Pharmaceuticals,83.1,9,4.68,13.8,17.4,0
Financial Services,43.6,12.5,3.82,35.8,19,0
Telecommunications,35.2,6.2,4.78,36.1,0.2,0
Real Estate,39.4,10.6,0.39,-3,5.8,0
Infrastructure,69.5,7.3,4.72,24.7,20.6,0
Metals and Mining,36.2,8.5,3.67,8.1,16.7,0
